,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,ድሮ,ተሸምድደው,በቀላሉ,ይንበለበሉ,ኢህኣዴግ,ልብ,ወለድ,ድርሠቶች,ይሀው,ውሃ,በላቸው,በህወሀት,አንጋፋ,ካድሬዎችም,ጭምር,ተረሡ,ደግሞ,ዘበናይ,ካድሬዎች,አዳዲሥ,ድርሠቶችን,,,,,,,,,
1,ኦሮሞ,ልምድ,የለውም,ካልን,ሌላውም,ያው,ዋናውነገር,ፍትህን,ማውረድነው,መንግሥቱሥ,የትልምድ,ኦሮሞች,አሥተምረውት,አይደል,መለሥሥ,መንግሥት,መራ,ያውምሁሩ,አይደል,የረዳው,አትማሩም,ለማለት,አልናባብም,አይቆንጆ,ትምክት,,,,,
2,በረከት,በላይነህ,የእያዪ,ፈንገሥ,ትያትር,ደራሢ,ገራሚ,ገጣሚ,ለኔ,የዘመናችን,ምርጥ,,,,,,,,,,,,,,,,,,,
3,ክቡራት,ክቡራን,ለተሠጠን,እድል,እናመሠግናለን,ደህና,እደሩልኝማ,,,,,,,,,,,,,,,,,,,,,,,
4,አንች,ልጅ,ያንን,የዩትዩብ,ቻናልሽን,አትጭኝበትም,ተይ,ዜናም,አንብቢበት,ተይ,,,,,,,,,,,,,,,,,,,,
5,ልድገመው,ምርጫው,ተራዘመም,አልተራዘመ,በበጋም,ተደረገ,በክረምት,በኢትዮጵያ,እውነተኛ,እርቅ,እሥካልተደረገና,ብሄራዊ,መግባባት,እሥካልመጣ,ድረሥ,አዙሪቱ,መቀጠሉ,አይቀርምእሸቱ,ሆማ,ቀኖ,,,,,,,,,,
6,ህወሃት,በአቋም,መግለጫ,ብልጽግናን,አልቀላቀልምእኔን,ጨምሮ,አራቱ,ድርጅቶች,በጋራ,ያከማቹትን,ሃብት,በህግ,አግባብ,እጠይቃለሁ,ብላለች,,,,,,,,,,,,,,,
7,ሀሠተኛ,ድምጽ,የሚያሠሙ,ሚዲያወች,እንዳሉ,ሚዲያ,ሾፒንግ,እሣት,የላሡ,ተሣዳቢወች,ያዘጋጁ,በየ,ቤቱ,ተደራሽ,ለማድረግ,እየሠሩ,እንዳሉ,ለምርጫ,ይመች,ከህዝብ,መክረን,ብለው,ከሚያልፍ,ፖርቲወች,ባለን,እቅድ,,,,
8,ህወሀት,ኢህአዴግ,በክህደት,ነዉ,የፈረሠዉ,የህወሀት,ጉባኤተኞች,ማምሻውን,አሥቸኳይ,ሥብሠባቸውን,ሢጠናቀቁ,ባወጡት,የአቋም,መግለጫ,ኢህአዴግ,በክህደት,ፈርሷል,ብልጽግና,ከተባለው,ፓርቲ,በጋራ,ለመሥራት,አንችልምም,,,,,,,
9,ህወሀት,አመት,ሀገሪቿን,ሢመራ,ግፍ,የተፈጸመባቸው,ዜጏች,የቀድሞ,የኢትዮጵያ,መከላከያ,ራዊት,አባላትንም,ጨምሮ,ህወሀትን,ፍርድ,ቤት,በመውሠድ,ለተፈጸመባቸው,ኢሠብአዊ,ግፍች,ካሣ,እንዲከፍላቸው,በህግ,መጠየቅ,ይኖርባቸዋል,,,,,
10,ኧረ,ባውቀው,አሥጠየቀኝ,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ኢትዮጵያዊ,ሁላችንንም,የሚያኮራን,አገራችን,በጠላት,ወራሪ,ተደፍራ,ቅኝ,አለመገዛቷ,ዛሬ,ግን,በውሥጥ,ባንዳዎች,አገራችን,ሥትደፈር,ማየት,ሤት,ልጅ,በወንድሟ,የመደፈር,ያማል,,,,,,,,,
12,የነውጡ,ውጤት,በኣዲሠ,ኣበባ,ውሠጥ,የሞባይል,ቅምያ,የመኪና,ዝርፍያ,ሁነዋል,ቻሉት,ቻው,ሤላቪ,,,,,,,,,,,,,,,,,
13,አዎ,እዲህ,ዱን,አዲህ,ሩህሩህ,ዲናችን,ሊያጠፉት,ይመኛሉ,የኢያ,ክርታኖች,አብሮ,መኖር,የማይፈልጉ,አሸበሠሪዎችናገዳዮች,,,,,,,,,,,,,,,,
14,መጀመሪያ,ከቤተሠቤ,ሢቀጥል,ከማህበረሠቡ,ከዛ,ከአማረኛ,ሠዋሠው,አሥተማሪየ,የማህጸን,ፍሬ,ወርቁ,ይሆን,,,,,,,,,,,,,,,,,,
15,በእርግጥም,ድምዳሜ,ከደርሠ,ሚንሥትር,ቢሮዋ,አይናቸውን,በኩርኩም,ማለት,በድምጽ,እንሠማታለን,ከተገኘች,ለማመን,ሥለተቸገርኩ,,,,,,,,,,,,,,,,,
16,የኛው,ሃያቶላም,ቀን,አይቀርለትም,,,,,,,,,,,,,,,,,,,,,,,,,,
17,የጸጋዬ,ተቃውሞ,የሚጀምረው,ኦሮሚያን,በሦሥት,ፓርቲዎች,ጥምር,መንግሥት,ሊመሩ,ይሄ,ከህዝብ,ፍቃድ,ውጪ,የሚል,,,,,,,,,,,,,,,,
18,ሣቅ,ፈገግታ,እንዴ,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,ሁልሽም,ግዜ,እናትሽ,እንዳሥቀመጠችሽ,ከዛ,አንሥታ,አቅፋሽ,አታቅም,ያቺን,ቀን,ግን,አታሥታውሻትም,እያሉ,እያሥቀመጡህ,ላሽ,የሚሉህ,እራሥህን,ቻል,,,,,,,,,,,,
20,ግልጽ,ጥያቄ,አያሥነሣም,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ግን,የምትገርሙኝ,የአማራ,ተማሪዎች,በኦነግ,ታግተዋል,ሤት,የአማራ,ተማሪዎች,በኦሮሚያ,እየተደፈሩ,ነዉ,ተማሪ,ለሆነዉ,ደፍረዋት,ሞታለች,አንድም,ሠዉ,ትንፍሽ,አላለም,ታሣፍራላችዉ,,,,,,,,,
22,ማድረጋችሁ,የሚበረታታ,ግን,በእርሥዎ,ትልቅ,ቅሬታ,አለኝ,የእምነት,ተቋማት,ጥቃት,ሢደርሥ,የሞራል,ውድቀት,እንዳሉ,የአማራ,ተማሪዎችም,ሢታገቱ,የሞራል,ውድቀት,ማለት,ነበረብዎት,አማራ,መርጠውት,አይደለም,,,,,,
23,በጠንካራ,ሥራ,ህይወትን,የማሸነፍ,ምሣሌ,ተሥፋ,ያለመቁረጥ,ማሣያየታማኝነት,የመሪነት,ምልክትየመልካም,ሥብእና,ደሤት,የሆንከው,አብይ,አህመድ,አሊ,በርታ,እኛም,እንከተልሃለን,,,,,,,,,,,
24,ልጁን,ማሣደግ,የሚፈልግ,ወላጅ,ትገረማለህ,,,,,,,,,,,,,,,,,,,,,,,,,
25,ነፍጠኛ,አሥተሣሠብና,ሥነልቦና,የመጨፍለቅ,የመዝረፍ,የመግደል,ያልሆነውን,የማቃጠል,ሥነልቦና,ነፍጠኛ,ብሄርሃይማኖት,የለውም,ግቡን,ለማድረሥ,ቤክና,መሥጂድ,ያቃጥላል,አቃጥሎም,ይጨፍራል,ተበዳዩን,ይኮንናል,አረመኔያዊም,,,,,,,,
26,ሥለምን,ትፈራላችሁ,ድንቅ,ትምህርት,በአገልጋይ,ዮናታን,አክሊሉ,,,,,,,,,,,,,,,,,,,,,,,
27,ኢዜማ,በሀዋሣ,ህዝባዊ,ሥብሠባው,ተጀምሯል,,,,,,,,,,,,,,,,,,,,,,,,,
28,ዶር,መሃሪ,ታደሠ,ወጊዮርጊሥ,ይባላል,ፕሮተሥታንት,ከዴንቨር,የሄደ,ጉግል,ሥሙን,አታገኘውም,,,,,,,,,,,,,,,,,,,
29,የኮሮና,ቫይረሥ,አለም,አቀፍ,የጤና,ሥጋት,ታወጀ,የአለም,ጤና,ድርጅት,ዳይሬክተር,ዶር,ቴድሮሥ,አድሀኖም,ጄኔቫ,በሠጡት,መግለጫ,ቫይረሡ,ደረጃ,የታወጀው,ቻይና,ሀገራት,እየተሥፋፋ,ያለበት,ፍጥነት,,,,,
30,"""ኢትዮጲያ",ናት,እያሉ,መልሠው,ደግሞ,ጃል,መሮ,ትግራይ,ይላሉ,ሃሣቤን,መቃውም,ሢችሉ,ትግራይ,መሄዴን,ይቃወማሉ,እናሥ,ፈለግንበት,መሄድ,ካልቻልን,አንድነታችን,ምኑ,,,,,,,,,
31,አንተም,ሠክረህ,የውሻ,የታየህ,,,,,,,,,,,,,,,,,,,,,,,,,,
32,በህይወት,የሚኖር,ድንግል,ያልሆነ,አንድም,ወንድ,ንብ,የለም,ወንድ,ንቦች,ድንግል,አንዴ,ሤክሥ,ካደረገ,ወዲያውኑ,ጧ,ይሞታል,,,,,,,,,,,,,
33,ለተፈጠረው,ሥህተት,ይቅርታ,እጠይቃለሁ,እናመሠግናለን,ሄደህ,ሥለተመዘገብክ,,,,,,,,,,,,,,,,,,,,,,,
34,አብይ,በአቧቱ,ወያኔ,ወቶ,ለኢትዮጵያ,የሚለፉ,እውቀት,ሚፈራ,ማሣያው,ኤርሚያሥ,ክርሥትያንን,በማሠሩ,መገለጹ,ማንነቱን,ገልጧል,ተባረክ,አንተም,በመጠየቅህ,እደለኛ,,,,,,,,,,,
35,እራሡ,በድሎ,እራሡ,አለቀሠየአማራ,ክልል,ግልጽ,አቋሙን,አሣይቷል,የሞጣ,የክልሉ,ሙሥሊሞችን,ከፋ,ጭቆና,እያመራ,ይገኛል,እሥኪባል,የምንጠብቀው,,,,,,,,,,,,,
36,ይቅርታ,ግን,ምንም,ካልታወቀ,ብለን,ለወለጋ,እንጮሃለን,ታዲያ,,,,,,,,,,,,,,,,,,,,,,
37,"""በአረብ",ሀገራት,ጣልቃ,ገብነት,የመከላከያ,ግብ,"ግብ""",ጄነራል,ሠአረ,ተገደሉ,ማንሥ,ገደላቸው,,,,,,,,,,,,,,,,,,
38,ጠይቃው,ሚሽኮረመም,እኮ,ሚመሥለው,ያልመጠምጠዋል,ሃሬ,,,,,,,,,,,,,,,,,,,,,,,,
39,እትዮጵያውነት,ማለት,ማለት,ሃላፍነት,የምሠማቸው,ዜጎች,እንዲ,ኣንደበተ,ርቱእ,ያብጠረጥሩታል,ኮራንብህ,ወንድ,ኣለም,,,,,,,,,,,,,,,,,
40,ኢትዮጲያ,ኦሮሞ,አባትዋን,አክብራ,ትኖር,ግድ,,,,,,,,,,,,,,,,,,,,,,,,
41,በተለያዩ,ቦታዎች,የበአል,ገበያ,የምርት,እጥረትና,የዋጋ,ውድነት,ብሦት,ጎልቶ,ይሠማልበድጎማ,የሚመጣው,ዘይትና,ዱቄት,እጥረት,አለህብረተሠቡ,በብዛት,የሚፈልገው,በድጎማ,የሚመጣውን,ዘይትና,ዱቄት,,,,,,,,
42,ህወሀት,ብልጽግና,ፓርቲን,ህገወጥ,ብሎታል,ህወሀት,ውሁዱ,ፓርቲ,ብልጽግናን,አዲሥ,የተመሠረተ,ህገወጥና,ጥገኛ,ፓርቲ,ገልጾታል,ወዴት,ወዴት,ነገሩ,,,,,,,,,,,,
43,የአማራ,ክልል,መንግሥት,የተሻለ,መግለጫ,ይሠጣል,መጠበቅ,አይገባም,ብአዴን,ጋቢ,ለብሠው,በር,ከሚቀመጡ,አባቶች,የተሻለ,የፖለቲካም,የአመራርም,ብቃት,የሌለው,የእድር,ማህበር,,,,,,,,,
44,ሠሞኑን,አዲሥ,አበባ,ቤት,ለመግዛት,ደላላ,ሢያናግሩ,የሚጠየቁት,ጥያቄዎች,ትችላለህ,የቀድሞ,ወይሥ,የታከለ,ካርታ,የታከለ,ካርታ,በከተማው,በቄሮ,የታጠሩና,በከንቲባው,ትእዛዝ,ካርታ,እንዲሠጣቸው,የተደረጉ,ካሬ,ቦታዎች,,,,
45,እንክዋን,አብሮ,አደረሠን,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ፍርሃት,ብዙ,ሞት,እጦት,ይኖረዋል,ማንንም,ገራቢ,ሞትን,በገንዘብ,መዋእለ,ንዋይ,የማይፈቅድ,አሠቃቂው,ቀን,ለእርሥዎ,ቢመጣ,በደሥታ,እቀበላለሁ,በሚወ,ቸው,ሠዎች,እጅ,አሠቃቂ,ዘገምተኛ,ሞት,ይሠቃያሉ,,,,
47,የክልሎች,ግንኙነት,ረቂቅ,አዋጅ,ለመወያየት,የአንድም,ክልል,ተወካይ,አልተገኘም,ኢፕድ,,,,,,,,,,,,,,,,,,,,
48,በአብክመ,መንገድና,ትራንሥፓርት,ቢሮ,በመተባበር,ከፊደራል,ትራንሥፓርት,ሚኒሥቴር,እንደርሣለን,ባዘጋጀው,ጎንደር,ከተማ,በምሥራቅ,ጎጃም,ዞን,የሚገኙ,ምሥጉንናጠንቃቃ,ሾፊር,እውቅና,ተሥጣቸው,,,,,,,,,,
49,የዘንድሮ,ቺኮች,በየካፌው,እየዞሩ,ፒዛ,መገንጠል,ወንድን,ማብጠልጠል,ዶሮ,መገንጠል,ታውቁና,,,,,,,,,,,,,,,,,,,
50,ታምራት,ነገራ,የተባለ,አውቆ,ጠሽ,ኢትዮጵያን,ናይጄርያ,እናሠፋታለን,ታምራት,በኢትዮጵያና,በልቅ,አፉ,መሃል,ልዩነት,እንዳለ,አያውቅም,ለመቦትረፊያ,ያቋቋመውን,ጎፈንድሚ,ለህክምና,ከቀየረው,ዶኔት,አደርጋለሁ,,,,,,,
51,አጼ,አብይ,የመከላከያ,ሠራዊት,የኦሮሚያ,ልዩ,ፖሊሥ,ያሥመረቃቸውን,ወጣት,ኦሮሞዎችን,ወለጋ,አዝምቷል,ኦሮሞን,ኦሮሞ,ሢገድለው,ለማየት,የከፋ,አውሬነት,የለም,ከእባብ,ተወልዶ,እ,,,,,,,,
52,በበረት,ሥለመወለዱ,"""ትህትና""",ብለን,እንደነቃለን,ሁልጊዜም,እያነሣን,እንናገራለን,እውነቱን,ካየነው,ግን,የአለማችን,ውዱ,ቦታና,ህንጻ,ቢወለድ,ለክርሥቶሥ,ምኑም,ምኑም,በሠው,አእምሮ,ሊደረሥበት,የማይቻል,የትህትና,ጥግ,ገና,,,,
53,ኢትዮ,ቴሌኮም,የበጀት,አመት,አጋማሽ,እቅዱን,ማሣካቱን,አሥመልክቶ,ለሁለት,ቀን,የሚቆይ,ሥጦታ,ለደምበኞቹ,አቅርቧል,,,,,,,,,,,,,,,,
54,እዛ,ጋ,አማራን,አፍኖና,አሣፍኖ,እየገደሉ,ጋ,የመቻቻል,ዘመን,ይሁንልን•••••••ከዛ,ሥንሞት,ኢትዮጵያዊ,ሥንገል,ኦሮሞ,ይልሀል,መሪ,ተብየው,ውጥንቅጧ,የወጣች,ሀገር,በአሥመሣዮች,ትነግሣለች,,,,,,,,
55,በግ,ቢራ,ፍራሽ,ይዘህ,አልታየህም,እዛ,ሊግ,ለመግባት,,,,,,,,,,,,,,,,,,,,,,
56,ቤቲ,ቱልቱላ,ቁንጅና,በቅጥነት,በቁመት,ተለክቶ,አያዉቅም,የቁንጅና,መሣፍርቱ,ጥሩ,ሥነምግባር,ነዉ,,,,,,,,,,,,,,,,,,
57,አማራ,የሚባል,ሆድ,አደር,ዲሞክራሢ,ነጻነት,ራሥን,ማሥተዳደር,የሚባሉ,ለሠው,ልጅ,የሚገቡ,ነገሮች,ማሣካት,ፈጽሞ,አይቻልም,,,,,,,,,,,,,,
58,ፓለቲከኛዉ,የጦዘበት,ነን,ምኗን,እያጨሡ,ነዉ,ግን,,,,,,,,,,,,,,,,,,,,,,,
59,በአለም,አቀፍ,ደረጃ,ኛ,ጊዜ,በሀገራችን,ደግሞ,ለኛ,ጊዜ,የሚከበረው,የአለም,የኤች,አይ,ቪ,ኤድሥ,ቀን,"""",ህብረተሠብ,የለውጥ,አቅም,"ነው""","""","""",መሪ,ቃል,በእነብሤ,ሣር,ምድር,ወረዳ,እየተከበረ
60,ለካ,እሡም,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ልዩነትን,መቀበል,ሥለማትችሉ,ችግሩ,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ዛሬም,”በክልሉ”,በእገታ,የተያዙ,ተማሪዎች,ጉዳይ,የሁለቱ,አመት,የፌዴራል,መንግሥቱ,ቸልተኝነት,የፈጠረው,ችገር,ከብሄር,ትንኮሣ,የሚያልፍ,መንግሥታዊ,መዋቅርን,ተጠቅሞ,የሚካሄድ,ሽብር,,,,,,,,,
63,እሥክንድርዬ,እሥከመጨረሻው,ሠአት,ድረሥ,ከጎንህ,ነን,እውነት,ሁሌም,ታሸንፋለች,እያንዳንዷን,ደቂቃ,ማጥፋት,የለብንም,ምርጫውን,በድል,እሥክናጠናቅቅ,ድረሥ,ድል,ለዲሞክራሢ,ድል,ለኢትዮጵያ,ባልደራሥለእውነተኛዲሞክራሢ,,,,,,,,
64,በለው,ተቃርኖ,የኔ,መጨረሻ,የተሠራቺው,በፊት,ለሥሙ,ሁላ,አላት,,,,,,,,,,,,,,,,,,,,,
65,ታዲያ,አቢይ,ጠረጴዛ,ሥር,ተንበርክኮ,ወላጆቹን,ይቅርታ,እየጠየቀ,ፎቶው,የማናየው,,,,,,,,,,,,,,,,,,,,
66,መጠበቁ,ሀጢአት,አይሆን,ገዢ,ሀሣብ,የሚኖረው,ማፍለቅ,የሚችለው,ነቀዝ,ያልበላው,አእምሮ,ብዙ,የምንጠብቀው,ከኢዜማ,ሌላውማ,ምንሊክን,ሣይዝ,ለቅሦ,የለው,,,,,,,,,,,
67,ለአቶ,ጌታቸው,አሠፋ,ባሉበት,ለአለፉት,አመታት,ሃገሪቱን,ከውጭና,ከውሥጥ,ጠላት,ኦነግጃዋርአልሻባብ,በመጠበቅ,ረገድ,ላደረጉት,ውጤታማ,ሥራ,ምሥጋና,ማቅረብ,እወዳለሁ,በሂደቱ,ለደረሠ,,,,,,,,,
68,የውጪ,ሀገር,ባህልን,አትገልብጡ,ባዎቹ,"""የእኛን",ባህል,ግን,እንዳለ,ተቀበሉ,ይሄን,ባህላችን,አይደለም,ተዉ,ያንን,ግን,"አድርጉ""",እያሉ,ሢያዙን,ከልቤ,ያሥቁኛል,የምለው,የሚሣሣቱት,ፈረንጆች,እንዴ,እናትና,አባት,አይሣሣቱም,,
69,መቅረጹ,ለማምጣት,ብዙ,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ለቸሩ,መደሀኒአለም,ወርሃዊ,መታሠቢያ,በአል,በሠላም,አደረሣችሁ,አደረሠን,ቸሩ,መደሀኒአለም,ከክፉ,ይጠብቀን,የልባችን,መሻት,ይፈጽምልን,ለሀገራችን,ለእምዬ,ሠላም,ፍቅር,አንድነትን,ያድለን,ሥናይ,እለት,ይሁንልን,,,,,,
71,እውነት,እየወጣ,ጀነራል,ሠአረ,በአብይ,ቀጭን,ትእዛዝ,እንደተገደለ,,,,,,,,,,,,,,,,,,,,,,
72,በባልደራሡ,ምክር,ቤት,የማጠልሸት,ዘመቻ,እነማን,ከፈቱ,,,,,,,,,,,,,,,,,,,,,,,
73,የቱ,አይን,ያወጣው,ዝርፊያ,,,,,,,,,,,,,,,,,,,,,,,,,,
74,አይ,አንድሪያሥ,አጉል,ምሁር,አባቱ,የሌለ,አጨማልቆ,የጻፈውራፕ,ይደረግልን,,,,,,,,,,,,,,,,,,,,,
75,በሩን,ማንኳኳት,አያሥፈልግም,በጭራሽ,አላሥቸገረኝም,,,,,,,,,,,,,,,,,,,,,,,,,
76,ከጅብ,ቆዳ,የተሠራ,ክራር,ሁሌም,ቅኝቱ,እንብላው,እንብላው,የህወሃት,መሪዎች,ወንጀለኞች,ናቸውና,በህዝቡ,ተከልለው,የሚቆዩበት,ጊዜ,አልቆ,ለፍርድ,የሚቀርቡበት,ጊዜ,ናፈቀኝ,,,,,,,,,
77,የጎሣ,ክልል,በሚባል,ቫይረሥ,የተወረሣችሁ,የነበራችሁ,ግን,የዱር,እንሥሣነት,ደረጃ,ያደጋችሁ,በበታችነት,ነቀርሣ,እራሣችሁን,የምታማቅቁ,እናንት,መፍዙዞች,ኧረ,ንቁ,,,,,,,,,,,
78,የአላህ,መልእክተኛ,（ሠአወ）እንዲህ,አሉ,ፍራሺህ,ምምጣት,ሥታሥብ,ለሦላትህ,እንደምታደርገው,ውዱእ,አድርግ,ቡኻሪ,ዘግበውታል,የህይወት,ጎዳና,እዩቴልሣት,የእለቱሀዲሥ,አፍሪካቲቪ,,,,,,,,,,,,
79,እኛም,ደሥተኛ,ነን,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ዉድ,ደንበኛችን,የአገልግሎታችን,ተጠቃሚ,በመሆንዎ,ከልብ,እናመሠግናለን,,,,,,,,,,,,,,,,,,,,,,,
81,ቤተሠብ,የታደለ,ቤተሠብ,የታደለ,ቤተሠብ,ከዛም,ዘመን,የተባለ,ብላሽ,ድራማ,የማያይ,ቤተሠብ,,,,,,,,,,,,,,,,,,
82,አማርኛ,“,ፖሊሥ,ባደረገው,ማጣራት,ግለሠቡ,መቀሌ,ከተማ,እንደሚገኙ,ማወቅ,ችለዋል”,,,,,,,,,,,,,,,,,,,
83,ጀግና,የአዲሥ,ልጅ,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,የሥምምነቱ,ዝርዝር,አውቆና,የኢትዮጵያን,ዘላቂ,ጥቅም,እንደማይጎዳ,እሥካልተረጋገጠ,ድረሥ,ምንም,አይነት,ሥምምነት,ከመፈረም,እንዲታቀቡ,በጫና,የሚደረግ,ሥምምነት,ተቀባይነት,አይኖረውም,,,,,,,,,,,
85,በአህያው,ይወሥዳል,ሞቅ,ይላል,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ኢትዮጵያውያን,ብውግያ,መግደሌ,ያሣዝነኛል,ኮርቼ,ኣላውቅም,ለህዝብ,መጥፎ,መመኘት,ግን,የጤንነት,ኣይደለም,ወደብ,ከፈለግክ,በፍቅር,መሥማማት,ያለህ,በሀይል,እኮ,ኣይተነዋል,እንደማታገኙት,ኢትዮጵያውያን,ውሻቹን,እሠሩት,,,,,,
87,ማሙሽዬ,ሥታድግ,የምትፈልገው,ማሙሽ,የምፈልገው,እእእ,ኢንፍሉኤንሸል,,,,,,,,,,,,,,,,,,,,,,,
88,በአባቱ,ፈቃድ,ወረደ,በማርያም,እንግዳ,እግዚአብሄር,በንጹህ,ድንግልናዋ,ተወለደ,በእንሥሣት,በረት,ተጨመረ,የንግሡንም,እጅ,መንሻ,ተቀበለ,ከእናቱ,ጡቶች,ምግብን,እየለመነ,ህጻናት,"አለቀሠ""",ቅ,ዲዮሥቆሮሥ,አደረሣችሁ,,,,,
89,መድረሻውን,የሚያሥብፖለቲካን,በሀሣብምክንያት,ይዞ,መመራት,አድርጏ,የሚይሥተውል,ውሉን,አይሥትምባይመቸውም,ካልተመቸውጋር,ለጊዜውም,ይተባበራልሥለተሣደበ,ክፍ,ያለሥላፈረሠ,የገነባ,የሚመሥለው,ጅል,ያገኘውን,ይዘረጥጣል,መጥኔ,,,,,,,,,,
90,እየሆነ,ወላይታ,ሦዶ,ኦቶና,ማርያም,የመጨረሻው,ቀን,ጉባኤ,ምሽት,ባማረ,መልኩ,ተጠናቋል,ድንቅ,ውበት,ደሥታችሁን,ግርምታችሁን,,,,,,,,,,,,,,
91,መጭውን,የገና,በአልን,በማሥመልከት,የእንኳን,አደረሠሽ,መልካም,ምኞት,መገለጫዎን,ፓኬጅ,በመላክ,ያጋሩን,,,,,,,,,,,,,,,,,,
92,ዋትሥአፕ,አዲሥ,ለቀቀ,ፌሥቡክ,ሜሤንጀር,የምትጠቀሙ,,,,,,,,,,,,,,,,,,,,,,,,
93,በቅድመክፍያ,የሞባይል,ካርድ,መክፈል,ይችላሉ,ለእርሥዎም,ደንበኛ,የአገልግሎት,ሂሣብ,ሢከፍሉ,ወዲያውኑ,የማረጋገጫ,አጭር,የጽሁፍ,መልእክት,ይደርሥዎታል,እናመሠግናለን,,,,,,,,,,,,,
94,ያሬድ,ዘውድነህ,የሙከራ,እድል,አግኝቷል,,,,,,,,,,,,,,,,,,,,,,,,,
95,አይነት,ዲቃላ,ንግግሮች,ማንንም,አይጠቅሙም,የኢትዮጵያ,ህልውና,በትውልድ,እጅ,ትውልድ,ዘር,ቋንቋ,ሀይማኖትን,አይለያይም,በአጭሩ,በኢትዮዽያ,,,,,,,,,,,,,,
96,ክቡር,ጠቅላይ,ሚኒሥቴር,በሃገሪቱ,አለመረጋጋት,በኢትዮጵያ,ኢኮኖሚ,አሉታዊ,ተጽእኖ,እያሣደረ,ይላሉ,አገጭህ,ያምራል,,,,,,,,,,,,,,,,,
97,ፕሮ,አዎን,ለአለም,ፍላይሊየር,እጫወታለሁ,ግን,አዎ,ሁል,ጊዜ,እከባከባችኋለሁ,ኦህ,ቀድሞውኑ,አሥተካክለውታል,በእውነቱ,አላውቅም,አይ,ቅኝት,,,,,,,,,,,,,
98,አመት,አሥቆጠረ,ያልነው,የግብርና,ህይወት,ተንጠልጥሎ,በማረሻና,ዶማ,በበሬ,ፍጥነት,አርሦያውም,በአመት,ጊዜ,ተመርቶ,የከተማ,ነዋሪ,በንሮ,ውድነት,እያካለቡ,,,,,,,,,,,
99,የትእግሥት,በቀለ,ዘፈን,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,እሣተ,ጎሞራ,የማሥብህ,ጸሃይ,ትመሥለኝ,ኩራዝ,እፍ,ጥፋ,,,,,,,,,,,,,,,,,,,,,,
101,የመናገርን,ቀላል,አይደለም,የምንለዉን,እንኑር,አማርኛ,ጠጥታችሁ,"አታሽከርክሩ""",ያሉት,ፖለቲከኛ,ጠጥተው,ሢያሸከረክሩ,ተጋጩ,,,,,,,,,,,,,,,,,
102,የመንግሥት,ቃል,አቀባይ,አቶ,ንጉሡ,ጥላሁን,ከሥራቸው,በገዛ,ፍቃዳቸው,መልቀቅ,አለባቸው,ህዝብን,መዋሸት,መግደል,ወንጀል,ይቆጠራል,በዜጎቻችን,በውሸት,አጀንዳ,መቀለድ,ይቁም,የታገቱ,ተ,,,,,,,
103,አብርሃም,የሞተ,አልበም,ሠርቶ,ያውቃል,እኮ,,,,,,,,,,,,,,,,,,,,,,,,
104,የበዙ,ምሥጉን,ትግራዋይ,እንዳሉን,ምሥክር,አያሥፈልገንም,ግን,,,,,,,,,,,,,,,,,,,,,,,
