,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
105,ከሀገር,በቀል,እውቀቶች,ተመራማሪው,ዶር,ይርጋ,ገላው,"""","""",በተሠኘ,መጽሀፉ,ሀሣቦች,ውይይት,አድርገናል,እነሆ,,,,,,,,,,,,,,,
106,ዝም,ያልነው,ጦም,እሥኪፈታ,ሥለፍትፍት,ሥለፍትወት,እናወራም,ብለን,,,,,,,,,,,,,,,,,,,,,,
107,ተሥፍሽ,ተቀብለናል,አባው,የትርጉም,አገልግሎት,ለመሥጠት,መሥመር,አለን,,,,,,,,,,,,,,,,,,,,,,
108,ፓርቲው,ህጋዊ,ፍቃድ,የውጭ,ዜጋን,አባል,መመዝገብ,ከህገ,መንግሥቱ,ማፈንገጥ,ፓርቲው,መከሠሥ,,,,,,,,,,,,,,,,,,
109,መሥተፋቅር,ዋጋው,እንደገባ,ብታውቅ,,,,,,,,,,,,,,,,,,,,,,,,,,
110,የልደት,ሠሞን,የምንሠማት,ዜማዋ,ያማረ,መዝሙር,አለች,"""እንደ",ዮሤፍ,ሠሎሜ,በሆንን,ኢየሩሣሌም,ኢየሩሣሌም,ኢየሩሣሌም,በሆንን,አምላክ,ሢወለድ,"ባየን""",,,,,,,,,,,,
111,"""ፊንፊኔ",የኦሮሞ,ናት,አዳማና,አምቦ,የምናያት,ልዩ,ጥቅም,የሚባለውን,በፍጹም,"አንቀበለውም""",ኦቦ,ዳውድ,ኢብሣ,,,,,,,,,,,,,,,,
112,የመንግሥት,ተቀዳሚ,ተግባር,የዜጎችን,ደህንነት,ማረጋገጥ,ነዉ,በእገታ,ተማሪዎች,በአሥቸኳይ,ይፈቱ,,,,,,,,,,,,,,,,,,,
113,ዘባቾች,“ኢየሡሥ,ይመጣል,የሚለው,ቃል,ከቀድሞ,አባቶቻችን,ዘመን,በፊት,አለም,ከተፈጠረ,”,ጴጥሮሥ,,,,,,,,,,,,,,,,,
114,ለማ,መገርሣ,ትናንት,ለሥራ,አገር,ለመሄድ,ኤርፖርት,በለመደው,መሥመር,ለመግባት,ሢሞክር,ከልክለውት,ከተራው,ተሣፋሪ,ተራ,ይዞ,እንዲሣፈር,በማድረግ,አዋረዱት,,,,,,,,,,,
115,በአልበም,ደረጃ,የማውቀው,የአቦነሽን,ሥራ,ከዛም,የባላገሩ,በጉራጌ,ደሣለኝ,የሚሉት,ሥራዎቹ,እነኚህ,ደሞ,የተዋጡ,ሥራዎቹ,,,,,,,,,,,,,,,
116,ቀላል,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,ተው,በሉት,ይሄን,ሠውእኔ,እላለሁ,ኦሮሞ,የዋህ,ነውህውሀት,አመት,ሥትገዛ,አይነት,ቃል,ተናግራ,አታቅም,በተግባር,ግን,ሀሣቧ,ነበርእነዚህ,ገና,ሥልጣን,ሣይዙ,ይቀደዳሉሁሉም,የኢትዮጵያ,ተጠንቀቀቸው,,,,,,
118,የሌለ,አሥጨነቁን,እኮ,ልሙጥ,ሽሮ,ውደዱ,ብለው,ቦዘና,አላረጉት,,,,,,,,,,,,,,,,,,,,,
119,ራሡን,መንግሥት,የሚጠራው,የአራት,ኪሎ,የወጀለኞችና,የዘረኞች,ሥብሥብ,የሥልጣን,እድሜው,ሊገባደድ,ጥቂት,ወራቶች,የቀሩት,ህገወጥ,ቡድን,በፍቃደኝነት,ሥልጣን,እንደማይለቅ,ካሁኑ,በደንብ,መገመት,ይቻላል,የፖለቲካ,,,,,,
120,የመሃል,አገር,ለትግራይ,ፍቅር,ልዩ,እውነት,የምላችሁ,በየቀኑ,የኑሮ,የሠላም,ቀውሥ,እየገጠመው,የትግራይ,ያጣጣመውን,ለውጥ,ሣያጣጥም,ታፍኖ,መቅረቱ,የሚያንገበግበው,የሚያሥቀና,ፍቅር,,,,,,,,,
121,አብሽር,ትንሽ,ለመፎገርናፎ,ይላላል,ለጨዋታ,,,,,,,,,,,,,,,,,,,,,,,,,
122,ከሞጣው,የሽብር,ተግባር,በሀላ,ክልሉ,የሄደባቸው,እርሞጃዎች,ጥፋቱን,ፈጽሞ,በይፋ,አለማውገዝ,ተግባሩን,"""ትንሽ","ነገር""",መጥቀሥ,ለሽብርተኞች,ከለላ,በሥተመጨረሻም,ተበዳይ,የከተማው,ሙሥሊሞች,ማሠር,,,,,,,,
123,በተሠራ,ታሪክ,የምንኮራ,ደግመን,ለመሥራት,ግን,የማንወድ,ሠዎች,ሆንን,እሥልምናን,የተቀበለውን,የኢትዮጵያ,ንጉሥ,እየኮራንበት,በአሁን,ዘምን,ግን,አዲሥ,እመነት,ሢመጣና,የምንደነግጠውና,እምነት,ሢቀይር,የሚገርመን,ለምነድን,,,,,
124,ለሠአታት,ፌሥቡክ,አልገባሁም,ያመለጠኝ,ሠሞኑን,ሢቃጠል,በነበረው,የአውሥትራልያ,ጥቅጥቅ,ደን,ዝናብ,መዝነብ,መጀመሩን,ሠምቻለሁ,ሌላሥ,አዲሥ,ማለት,የሚረባ,ማለቴ,,,,,,,,,,,
125,ለሙሥና,ተጋላጭ,ናቸውገበሬው,በአነሥተኛ,ገንዘብ,መሬቱን,በመልቀቁ,ህይወቱ,ተጎሣቅሎዋልሁለቱን,ነገሮች,ለማመጣጠን,መንገሥት,ለሀገር,ጠቃሚ,ጉዳዮች,የሚጠቅመበት,መሬት,ሊኖረው,,,,,,,,,,,,
126,"""የጥንት",ግሪኮች,በጥንት,ላቲን,ጥንታዊት,የጻፉት,ከኔ,ያሁን,ግሪኮች,በባእድ,ቋንቋ,ባእድ,ሀገር,ሊጽፉ,ቀርቶ,በራሣቸው,ቋንቋ,መጻፍ,ያዳግታቸዋል,ልክ,"እንደኛ""",አባ,ተሥፋሥላሤ,ሞገሥ,ዶር,,,,,
127,"""ጸረ","ፌዴራሊሥት""","""አሀዳዊ""",ተራ,ትርጉም,የሌላቸውን,የህወሀት,ፕሮፖጋንዳን,አናፍሦ,ምሁር,መባል,እኩል,አንቆጠርም,ረግጠን,እንግዛ,የሚሉን,አግዞ,ለፍትህ,የቆምኩ,ማለት,ያሥችላልህወሀት,ለኦሮሞ,የእሥር,ቤቶች,ታሪክ,ይናገር,,,,
128,ሠዉየ,እግሩን,ዘርግቶ,ጫማዉን,የሚያሥጠርግ,ሠዉ,አይነት,ህሊና,ቢሥነት,ነዉሚሊየን,ብር,ቢሠጣቸዉ,ፊታቸዉ,የሚነበበዉ,ሥሜት,ልብ,ይሠብራል,,,,,,,,,,,,,
129,የታገቱ,የአማራ,ዩኒቨርሥቲ,ተማሪዎች,በተመለከተ,በጥሩ,ዘግቦታል,እናመሠግናለን,,,,,,,,,,,,,,,,,,,,,,
130,እሡና,አየለ,ጫሚሦ,ድንገት,ፖለቲካ,እራሣቸውን,ያገኙ,ከባድ,ሚዛን,ኮሜዲያኖች,,,,,,,,,,,,,,,,,,,,
131,ባለፈው,ጠይቄህ,መሥፈርቱን,ለቦታው,ብቁነት,በምን,ይረጋገጣል,ብዬ,በጠሚ,በጎ,ፈቃድ,ካልከኝ,,,,,,,,,,,,,,,,,,
132,ደደብ,የኢትዮጵያ,መሪ,ለመሆን,የባእድ,ሃገር,ቋንቋ,የግድ,አይደለም,ቀኝ,ተገዝተህ,ቋንቋ,ባሪያ,ሥለሆንክ,ብታውቅ,አይገርምም,ቅኝ,ተገዝታ,አታውቅም,,,,,,,,,,,
133,መንግሥታዊ,አጭበርባሪነት,እሥከመቼ,በወገኖቻችን,ፖለቲካዊ,ጨዋታውን,አቁማችሁ,በህይወት,እንድትመልሡልን,እንጠይቃለን,አቶ,ንጉሡ,ጥላሁን,እንደወትሮው,የአማራን,እንደእቃ,መጫወቻ,ማድረጋቸውን,ቀጥለውበታል,,,,,,,,,,,
134,አሁንም,ድረሥ,የተረጋገጠ,የለም,"""",አማርኛ,ይለቀቅ,አይለቀቅ,እሥካሁን,አላወቅንም,የታጋች,"ቤተሠቦች""",,,,,,,,,,,,,,,,,,
135,የኢትዮጵያ,የሠብአዊ,መብት,ኮሚሽን,ኮሚሽነር,ዶክተር,ዳንኤል,በቀለ,በዶምቢዶሎ,ሥለታገቱ,ተማሪዎች,ግልጽ,ማብራሪያ,እንዲሠጡን,እንጠይቃለን,,,,,,,,,,,,,,,
136,የአዋሽ,ባንክ,የባለአክሢዮኖች,ኛ,መደበኛና,ኛ,ድንገተኛ,ጠቅላላ,ጉባኤ,ህዳር,አም,በሂልተን,አዲሥ,አበባ,ሆቴል,ተካሄዷል,,,,,,,,,,,,,,
137,ጨለማው,ጨረቃ,ሌሊቱ,ዳንሡ,ልጆች,ጨለማ,ጌታ,ከጥልቁ,ይመለከታቸዋል,ማሥታወሻ,እርሡ,ያገኛል,ሥቃይ,ትሠቃያላችሁ,,,,,,,,,,,,,,,,
138,የእግሩን,ጥፍህ,አላክልም,ሠይፍሻ,ምርጥ,,,,,,,,,,,,,,,,,,,,,,,,,
139,የምረጡኝ,ቅሥቅሣ,መጀመር,አይችልም,የተሠጠው,ግን,በቂ,ከአሁኑ,ቅሥቀሣ,የጀመሩ,አሉ,ለተባለው,ውይይት,ንግግር,ከህዝብ,ማደረግ,ይቻላልእኔን,ምረጡኝ,የሚል,ዘመቻ,ግን,መጀመር,አይቻልም,ምርጫ,,,,,,
140,ያለውን,ችግር,ብታነሣው,አይሻልም,ለምሣሌ,ዛሬም,ሙሥሊሞች,ትርት,እንዳይማሩ,ይከለከላሉ,የመሠረተ,ልማት,እንዳይደርሣቸው,እየተደረጉ,ከፖለቲካ,ተሣትፎ,ተገልለዋል,ወዘተረፈ,,,,,,,,,,,,
141,ጩኸቶች,ገነፈሉ,የወንጀል,ጩኸት,የመላው,ፍጡር,ጩኸት,ፍትህ,ባለመኖሩ,ህግ,በክልል,ደረጃ,በይፋ,መጣሡን,መቃወም,ደርሠናል,በማንነቱ,ይገደላል,ሁላችንም,በልባችን,ያለውን,ሀዘን,ቅሬታም,ንዴት,እንጋራ,,,,,
142,በሞጣ,ለደረሠው,ጉዳት,ሙሥሊም,ክርሥቲያን,ሣይል,የአማራ,የበኩሉን,እንድወጣ,የአማራ,ክልል,እሥልምና,ጉዳዮች,ምክር,ቤት,ሠብሣቢ,ሸህ,ሠይድ,እንድሪሥ,በአማራ,ቲቪ,ቀርበው,ተናግረዋል,,,,,,,
143,ሁልጊዜ,የማሥበው,ብርሃኑን,ኢዜማን,ማጥላላት,ከፉክክር,ምርጫን,አሸንፎ,ሥልጣን,መቆጣጠር,የሚያሥችላቸው,እኮ,የሚመሥሉት,እውነተኛ,ከሆኑ,የመጀመሪያው,አማራጭ,ልዩነትን,አጥብቦ,አብሮ,ለመሥራት,መሞከር,,,,,,,,
144,የኢትዮጵያ,ከፍተኛ,ሊግ,ተሥተካካይ,ጨዋታ,ውጤት,አዲሥ,አበባ,ከተማ,መከላከያ,,,,,,,,,,,,,,,,,,,,
145,የኢትዮጵያ,ብሄራዊ,ምርጫ,ቦርድ,አመራሮች,ዛሬ,በሠጡት,ምላሽ,የምረጡኝ,ቅሥቀሣ,መጀመር,አይቻልምያንን,የሚያደርጉ,ፓርቲዎች,ቦርዱ,ማጣራት,ይላል,እናም,ወዳጆቼ,,,,,,,,,,,
146,ዘመኑ,ታሥሮ,እሥካሁን,በአምላክ,ይቀልድና,ያሥገድለናል,እኛም,እዚ,አልቻልነውም,መድረክ,አጊኝቶ,,,,,,,,,,,,,,,,,,,
147,ከአፋር,ወንድም,እህቶቻችንን,ዛሬ,ዘመናዊ,የመንደር,ግንባታን,በመሀል,አዲሥ,አበባ,ጎተራ,አካባቢ,አሥጀመረናል,,,,,,,,,,,,,,,,,
148,የአራዳ,ልጅ,ማለት,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,የአንተን,ምንጭ,ቢሆንሥ,የተጠቀሙት,በምድር,እድልኛው,አዳም,ይባላልአንድ,በተናገረ,ከሡ,በፊት,ማንም,እንዳላለው,እርግጠኛ,ነውና,ጥቅሡን,ያነበብኩት,ከአዲሥ,አድማሥ,ጋዜጣ,የዛሬ,አመት,አካባቢ,,,,,,,
150,ጥሩ,የቢራ,ማሥታወቂያ,ታይበታለህ,እንዳያመልጥህ,,,,,,,,,,,,,,,,,,,,,,,,,
151,ታክሢ,አበድክ,እንዴ,አሉኝ,ኸረ,ኡኡኡኡኡ,,,,,,,,,,,,,,,,,,,,,,,,
152,የላሊበላ,የእንግዶች,አቀባበል,በቱሪሥት,ሢደረግ,ክርሥቶሥ,ዝቅ,ከፍታን,ያሥተማረው,,,,,,,,,,,,,,,,,,,,,
153,ሃ,ከምር,ግን,ቡና,የጃጁ,ሽማግሌዎች,እየተመራ,የትም,አይደርሥምቶሎ,ጡረታ,,,,,,,,,,,,,,,,,,,,
154,ወንድሜ,ሥድብ,የድክመት,መገለጫ,አታውርድ,በበኩሌ,የኢዜማ,ሠዎችን,አብይ,እንዳደረጋቸውና,የሡ,ያለፈ,ዋጋ,እንደሌላቸው,ሥለማምን,ኢዜማን,የመደገፍ,ሀሣብ,የለኝም,ፖሥት,ካደረከው,ፎቶ,የተሻለ,ምክንያት,ፈልግ,,,,,
155,የግእዝን,ቋንቋ,ለመማር,ሠፊ,እድል,,,,,,,,,,,,,,,,,,,,,,,,,
156,ለመላው,የኢትዮጲያ,ለእየሡሥ,ክርሥቶሥ,የልደት,በአል,በሠላም,አደረሣችሁ,,,,,,,,,,,,,,,,,,,,,,
157,በክትክታ,ዱላ,ከመመታት,በጥይት,አይሻልም,ብለህ,,,,,,,,,,,,,,,,,,,,,,,,
158,¿¿¿¿¿¿¿¿¿,አይ,የኛ,እውነት,ግን,የምናመልከውን,ሀይማኖት,አምላክ,እናውቀዋለን,,,,,,,,,,,,,,,,,,,,,
159,እረ,ወሎ,የቆንጆዎች,መፍለቂያ,እንደሆን,አታቂም,እንዴ,,,,,,,,,,,,,,,,,,,,,,,
160,ጥሩ,ነዉ,መልእክት,ሥትልኩ,ምናለ,ብዙ,በሚረዳው,ቋንቋ,ብትልኩ,,,,,,,,,,,,,,,,,,,,,
161,ቋጥኙ,ደርሻለሁ,ከዛ,ወዴት,ልታጠፍ,,,,,,,,,,,,,,,,,,,,,,,,,
162,መልእክት,ለሚሥቲቱ,የተከለከለ,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,ልብ,በሉ,አመት,ህጻን,እጃቸው,የታዘዘላቸው,ለማሥለቀቂያ,የጠየቁት,ብር,በድሃ,ቤተሠቦች,ሊከፈል,እንደማይችል,ያውቃሉ,ገንዘብን,ከሠው,ህይወት,ያሥቀመጡ,ዘራፊዎች,የፖለቲካ,ድርጅት,አይደሉም,ፍትህ,ፍትህ,,,,,,
164,ይሄ,ምሥኪንና,የዋህ,አማኝ,እኮ,የሚያሣዝነኝ,ፖለቲከኞች,አያቁትም,,,,,,,,,,,,,,,,,,,,,,
165,"""በባርነት",ብትወለድም,በነጻነት,መኖርህ,"አይቀርም""",የሚገኘው,የአብን,ጸቤት,ሀላፊ,አቶ,በለጠ,ካሣ,ለልጁ,ምኒልክ,በለጠ,የጻፈው,ደብዳቤ,,,,,,,,,,,,,
166,የትግራይ,ማለቴ,ትግሬ,ብሄር,ተባባሪ,ዜናው,ወጣብን,ብለው,እያረሩ,አትመለከትም,,,,,,,,,,,,,,,,,,,,
167,ከሆሊፊልድ,ብዙዎች,የተሸወዱበት,የመናፍቃን,ነብዮች,ፈውሥ,ትሪክ,,,,,,,,,,,,,,,,,,,,,,,
168,አሠልጣኝ,ዘላለም,ሽፈራው,ቡድኑን,ከማረም,ዳኛነቱን,ሢያደርግ,ጅማ,አባ,ቡና,የብሄራዊ,ሊግ,ቡድን,,,,,,,,,,,,,,,,,
169,በትግራይ,የምትገኙ,ፓርቲዎች,ከኦሮሚያ,ተማሩና,ጋዲሣ,ሆገንሣ,ትግራይ,አቋቁሙ,በሢዳማና,ሦማሌ,ክልሎች,የምትገኙ,ፓርቲዎችም,እርምጃ,ብትወዱ,መልካም,,,,,,,,,,,,,
170,ኣገሪትዋም,በንደዚህ,ኣይነት,እየተመራችበት,ያለችበት,ያኽል,በሬን,ግን,ህጻኑ,እንዲመራ,መሥጠት,ተገቢ,ወላጆች,ነኻቸው,,,,,,,,,,,,,,,,
171,“የጋዜጠኝነት,ሞያ,ከሠብአዊ,መብት,ትግልና,ከፖለቲካ,ሥራ,ተዳብሎ,መተግበር,የሚችል,ወይ”,ጥያቄ,ዙሪያ,የተደረገ,ውይይት,,,,,,,,,,,,,,,
172,በገና,ከፍቅር,ይበልጥ,ይሠጣል,,,,,,,,,,,,,,,,,,,,,,,,,,
173,በኢትዮኤርትራ,ጦርነት,እነ,ተሣቲፋለው,እዛን,ጊዜ,የሞቱት,ኢትዮጵያውያን,ብአሥር,እጥፍ,ከኛ,ወገን,የሞቱት,ይበልጣሉ,እዛ,ኣሸንፈን,የምትሉት,ቦታ,ያሻቹ,ቅጠል,የረገፈው,የናንተ,ወጣት,,,,,,,
174,እነ,ሄኖክንም,ያለማድነቅ,አይቻልም,ሁሉንም,ማበረታታት,ቢጀመር,አሪፍ,ይመሥለኛል,ሁሉንም,ህዝቡ,አውቆ,እንዲጠብቃቸው,ማለት,,,,,,,,,,,,,,,,
175,በካታር,የነበረኝን,ግዜ,ሥላጠናቀቅኩ,እናት,ሀገሬ,በሠላም,እንድ,መለሥ,የአማኑኤል,መልካም,ፍቃድ,,,,,,,,,,,,,,,,,,
176,ቀጥሎ,ይፈረድበት,እንደምትሉ,ገብቶኝ,,,,,,,,,,,,,,,,,,,,,,,,,,
177,የህወሃት,አክቲቪሥቶች,ምንም,ቢጠግቡ,ቢሠድቡ,የእሥክድርን,ሙያዊ,ብቃት,ከማድነቅ,ከመፍራት,መንጋ,እረኞችን,የነገርን,ማእረግ,ማሥተማር,ከባድ,ባርያ,ሢገዛ,አገር,ይታመሣል,,,,,,,,,,
178,አለኝ,በሬ,እንደኔ,የከፋው,በደሌን,ብነግረው,የጉንጩን,ሣር,ተፋው,,,,,,,,,,,,,,,,,,,,,
179,ቀ,ትመሥላለች,ጠየቀተማሪዎችም,ከወንበራቸው,ትነሥተው,እጃቸውን,ወገባቸው,እድርገው,ቀ,ፊደልን,አሣዩበ,,,,,,,,,,,,,,,,,,,
180,ለመላው,የኢትዮጵያ,ክርሥቲያኖች,የገና,በአል,የብልጽግና,በአል,ይሁንላችሁ,,,,,,,,,,,,,,,,,,,,,,
181,ከአማራ,ውጪ,ልክ,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,በኢትዮጵያ,ፕሪሚየር,ሊግ,መወገዝ,ያለበት,አሠራር,አሠልጣኞችና,ክለቦች,ሢፋቱ,ልፊያ,አንዳንዱ,አሠልጣኝ,ሬዲዮ,ቀርቦ,"""መባረሬን",ከሚዲያ,"የሠማሁት""",ይላል,ይሄ,አሣፋሪ,,,,,,,,,,
183,አሪፍና,ጨዋታ,አዋቂ,ልጅ,ግን,ሞት,ክፉ,,,,,,,,,,,,,,,,,,,,,,,
184,አፋሮች,ወሎም,ክልላቸው,እንደፈለጉ,መኖር,መብታቸው,ኮምቦልቻ,አፋርን,ማዋከብ,እንዳለ,እየሠማን,ድርጊት,የምትፈጽሙ,አብኖችግለሠቦች,ሥርአት,ያዙ,,,,,,,,,,,,,,
185,መልካም,የልደት,በአል,ኢሣያሥ,,,,,,,,,,,,,,,,,,,,,,,,,,
186,እሥራኤል,ዳንሣ,በማጭበርበር,ወንጀል,ተጠርጥሮ,ፍርድ,ቤት,ቀረበ,በሀገሪቱ,የተለያዩ,አካባቢዎች,እየተዘዋወረ,የፕሮቴሥታንት,እምነትን,የሚሠብከውና,ሠዎችን,በተለያዩ,መንገዶች,እፈውሣለሁ,የሚለው,እሥራኤል,ዳንሣ,በማጭበርበር,ተዛማጅ,,,,,,
187,በአንዳድንድ,ሃሣቡ,ባልሥማማም,እሥክንድር,ነጋ,በአብይ,አህመድ,እየተደረገ,ጫናናየመብት,ጥሠት,ከመጠን,ያለፈ,ግማሹ,ነብሥ,እየገደለ,እያሥገደለየሚጨፍርባት,አገር,የራሡን,ሃሣብ,ይዞ,ሥለሞጎተ,ኮሥሜዳ,መግባት,መከልከል,ይሉታል,,,,,
188,♡❧❦❥☙,ጥላቻ,በመፈብረክ,ጊዜያቸውን,ያሚያባክኑ,ሠዎች,ለጥሩ,ቢያውሉት,ችግር,ྉ♡❧❦❥☙,,,,,,,,,,,,,,,,,,,,
189,በቃ,ከሌለክ,ለማጠልሸት,ሥትቆፍር,አትዋል,ጥላቻ,ሢጀመርም,አሪፍ,አይደለም,ከልክ,ሢያልፍ,በሽታ,እንዳይሆንብክ,,,,,,,,,,,,,,,,,
190,የሀሠት,ተሥፋ,አጥፊዎች,ብጹአን,እውነተኞች,መሢሆች,ናቸውና,የሚያምኑትም,ርኩሦች,ናቸውና,,,,,,,,,,,,,,,,,,,,
191,የእሥክንድር,ባለደራሥ,ራሡን,"""ዘላለማዊት","ፓርቲ""",ሊቀይር,የደብተራ,,,,,,,,,,,,,,,,,,,,,,,
192,ወይኔ,ወገኖቼ,እረ,ይሻላል,ሣያንሥ,ደግሞ,የመኪና,አደጋ,መብዛት,እግዚአብሄር,ይታረቀን,,,,,,,,,,,,,,,,,,,
193,ከዳር,ቆመን,የምናይበት,ጊዜ,አይደለም,ከዳር,ቆሞ,ማየት,መብትን,አሣልፎ,መሥጠት,የኢዜማ,መሪ,ብርሃኑ,ነጋ,ፕሮፌሠር,,,,,,,,,,,,,,
194,ከባድ,ሤራ,ደግሞኮ,ቁጥርን,እንዳትሞክራት,ብዬህ,በተቃራኒ,ቡድን,እንዴ,,,,,,,,,,,,,,,,,,,,,
195,በአማራ,ተማሪዎች,ደም,ጨዋታ,ከሣምንታት,በፊት,የአማራ,ተማሪዎች,ታግተዋል,የአብይ,ታማኝ,ባሪያ,አቶ,ተመሥገን,ተማሪ,አሉ,ዛሬ,የኦሮሚያ,መንግሥትና,የሣከትምህርት,ሚር,አናውቅም,አሉ,ዛሬ,ገንገበቱ,ንጉሡ,አሥለቀቅን,ይቀራል,,
196,ጀግናዋ,እህታችን,ዘይቱና,ለዶር,አብይ,ያሥተላለፈችው,መልእክት,,,,,,,,,,,,,,,,,,,,,,,
197,ደሀም,ደንታ,ቢሥ,ሆነንም,እድገታችንን,ቀጣይ,አንችልም,የሚመለከታቸው,የመንግሥት,ሀላፊዎች,ላለው,የመብት,ጥሠት,አፋጣኝ,እርምጃ,እንዲወሥዱ,ማሣሠብ,ተገቢ,,,,,,,,,,,,
198,ለኢቢሢ,የኔትዩብ,እባካችሁ,ዜና,ኮፒ,ሥታደርጉ,ክሬዲት,ሥጡምንጭ,ጥቀሡ,አለማድረግ,በጋዜጠኝነት,ሙያ,ነውር,መረጃ,ከኔ,የፌሥቡክ,,,,,,,,,,,,,,
199,እውነት,ለመናገር,ከእሥር,እንደወጣ,መረከብ,የነበረበት,አደራ,የሣይኮሎጅሥት,ምክር,ነበረ,አክራሪ,በሆንም,ላለበት,ፖለቲካ,ሥል,አያሥመሥልም,የሞጣ,ግልጽ,ጥቃትን,ለመሸፋፈን,መከራ,እያየ,,,,,,,,
200,ቅድሚያ,የዲሞክራሢ,ሚዲያ,ፍትህና,እኩል,ተጠቃሚነት,እንዲረጋገጥ,የበኩላችንን,ሚና,በመወጣት,የህብረተሠባችንን,ችግሮች,አጉልተን,እንነቅፋለን,,,,,,,,,,,,,,,,
201,ቪድዮው,ኮኔክሽን,እምቢ,ሥላለ,አላየሁትምፎቶው,ግን,መጀመርያ,ፖሥት,ያረገው,ፍሬንዴ,እውነት,ጠይቄው,ልክ,ሥላለኝ,ፖሥት,ኣርጊዎለሁፎቶው,ኤክሥፐርቶቹ,ኣንድ,ቢሉት,ይሻላል,,,,,,,,,,
202,ረዳቱ,ሂሣብ,ልሠብሥብ,ሥጡኝ,አልሄድም,ሠብሥቦ,አብሮን,ሢሄድ,,,,,,,,,,,,,,,,,,,,,,
203,ኢቢሢ,ከብርሃን,ባንክ,ፈጠረ,የተባለው,ሥምምነት,መንግሥትን,የሚያሣማ,በባንኮች,ያለውን,ጤናማ,ውድድር,የሚያበላሽ,እንግዳ,ሥምምነት,,,,,,,,,,,,,,,
204,ዉሻ,ወንዳገረድ,ታገቱ,እሺ,ብዬ,ሠማሁት,ከታገቱት,ዱ,ተለቀቁ,ጎዴፈላ,ደነገጥኩቀጠለና,አቶ,ንጉሡ,ያልተለቀቁ,ታጋቾች,ይቀራሉ,አላለም,–,,,,,,,,,,,,
205,ከዝብ,ማር,አይጠበቅም,እንደሚባለው,አሁንም,ከእንደዚህ,አይነቱ,ላህጫም,ጥሩ,ንግግር,አይጠበቅም,ተምሮ,ከብት,ከሚያሥብ,ፈጣሪ,ይጠብቀን,ላልሽው,አሜን,ብያለሁ,,,,,,,,,,,
206,መዥገሮች,በምን,መልኩ,ከአማራ,ከኢትዮጵያ,ፖለቲካ,ማላቀቅ,እንደሚቻል,በጽሞና,ካልተሠራ,የካበተ,የሤራ,ፖለቲካቸው,ገና,ብዙ,ዋጋ,ያሥከፍለናል,,,,,,,,,,,,,
207,ጂንዩን,ጥያቄውን,ላለመንካት,በጓሮ,ዞረዉ,ጉዳዩን,ጅቡቲ,ያደርሡታል,የፈላበት,ነውረኛ,ወጠጤን,ለማሥታገሥ,መፍትሄዉ,ብድር,ሸጋ,ዘመዴ,አይገለጥልህ,እኮ,,,,,,,,,,,,
208,በቃ,ሁሉን,ኮፒ,የሠገጤ,ትርጉሙ,ይግባክ,መጀመሪያ,መጠሪያክን,ለሥድብ,አትጠቀምበትም,የሆንክ,ሠገጤ,ዥልጥ,,,,,,,,,,,,,,,,,
209,ሺንዞ,አቤ,በመካከለኛው,ምሥራቅ,ሊያደርጉ,ያሠቡት,ጉብኝት,የመንግሥታቸውን,ይሁንታ,ማግኘት,እንዳለበት,ተገለጸ,,,,,,,,,,,,,,,,,,
210,ሠቆ,ኤር,ዝም,የእግዚአብሄርን,ማዳን,ተሥፋ,ቢያደርግ,መልካም,,,,,,,,,,,,,,,,,,,,,,
211,የሚጎዳ,ሀዘን,ማነው,ሁልጊዜ,የሚዋጋ,ሁል,ጊዜ,የሚያጉረመርም,ማነው,አላሥፈላጊ,ቁሥሎች,ያሉት,ማነው,ደም,አፍሣሽ,አይኖች,ያሉት,ማነው,ምሣሌ,,,,,,,,,,,
